run_dir,model,augmentation,epochs,best_val_accuracy,test_10m_accuracy,test_10m_macro_f1,test_30m_accuracy,test_30m_macro_f1
codes\results\eurosat\20260609_144810,resnet18,yes,20,0.957283950617284,0.9528395061728395,0.9514181595826852,0.5120987654320988,0.4640372416406673
codes\results\eurosat\20260609_145941,hrnet,no,20,0.9725925925925926,0.9755555555555555,0.9751974708813582,0.40444444444444444,0.3384405001916
codes\results\eurosat\20260609_134700,hrnet,yes,20,0.9728395061728395,0.9671604938271605,0.9663295179553206,0.44592592592592595,0.39276332623807597
codes\results\eurosat\20260609_151513,hrnet_no_fusion,yes,20,0.9338271604938272,0.9367901234567901,0.9350312051983078,0.33728395061728395,0.2418968411592358
